index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_6,Host_3,Host_8,Host_7,Host_5,Host_2,Host_1,Host_4
0,506.6666667,506.6666667,506.6666667,506.6666667,346.6666667,320,320,320,506.6666667,320,506.6666667,506.6666667,506.6666667,506.6666667,346.6666667,346.6666667,346.6666667,506.6666667,320,320,6294272,320,320,320,506.6666667,6290240,506.6666667,320,6290240,320,506.6666667,320,6172992,0,0,0,0,0,0,0
1,909.3333333,909.3333333,909.3333333,909.3333333,909.3333333,936,909.3333333,1096,633933.3333,909.3333333,909.3333333,909.3333333,909.3333333,634045.3333,909.3333333,909.3333333,633933.3333,909.3333333,1096,4968,6425597.333,506.6666667,506.6666667,320,4941.333333,6417533.333,909.3333333,1096,6437693.333,4538.666667,320,1096,7392181.333,572544,4032,0,0,0,0,0
2,320,320,320,320,320,320,506.6666667,320,693824,506.6666667,320,320,320,689792,320,320,693824,320,320,320,320,749.3333333,749.3333333,749.3333333,320,320,320,320,320,909.3333333,909.3333333,320,4032,737856,0,0,0,0,0,0
3,160,160,320,320,320,320,320,320,657536,320,320,320,160,661568,320,320,657536,320,320,432,432,320,320,506.6666667,432,432,320,320,432,432,320,320,112,633024,112,0,0,0,0,0
4,320,320,160,320,320,320,160,320,939776,160,282672,320,320,653504,320,480,939776,480,320,320,320,320,320,320,320,320,320,320,320,320,320,320,0,1169280,0,0,0,0,0,0
5,320,320,320,320,320,320,320,160,1411520,320,544640,320,320,863168,320,320,1411520,320,160,363200,160,320,320,320,363200,320,320,320,320,363200,320,480,0,1270080,0,314496,0,0,0,0
6,320,320,320,320,320,320,320,320,2068576,320,544640,320,320,1528448,320,320,2068736,320,320,653504,320,320,320,320,653504,320,320,320,160,657376,320,320,0,2003904,0,633024,0,0,0,0
7,320,320,320,320,320,320,320,320,2068848,320,548672,320,320,1524528,320,320,2068848,480,320,653504,320,320,320,320,653344,320,320,320,320,653504,160,160,0,1999984,0,633024,0,0,0,0
8,320,506.6666667,282560,320,320,320,320,320,2346944,320,822848,320,320,1524416,320,320,2068736,506.6666667,320,657536,320,282560,320,320,653504,160,160,160,480,653504,282560,320,0,2011968,205632,633024,0,0,0,0
9,506.6666667,320,435962.6667,506.6666667,506.6666667,320,320,320,2718074.667,320,979936,160,506.6666667,1725856,320,320,2282618.667,320,320,653504,320,435776,320,320,657536,320,320,320,320,653504,435776,320,0,2520000,491904,741888,0,0,0,0
10,320,320,435776,160,160,320,320,320,3052544,320,984128,506.6666667,320,2076986.667,346.6666667,506.6666667,2621120,320,506.6666667,653504,536576,435776,320,320,653690.6667,548672,506.6666667,480,320,657536,435962.6667,520448,0,2620800,439488,653184,185472,0,0,0
11,909.3333333,320,440397.3333,320,909.3333333,749.3333333,320,506.6666667,3060720,320,985016,909.3333333,909.3333333,2081421.333,320,909.3333333,2625104,749.3333333,320,661754.6667,7567664,439994.6667,506.6666667,320,658125.3333,7555568,320,4941.333333,909.3333333,657536,439808,7584138.667,0,2471728,411264,620928,7914096,0,0,0
12,320,909.3333333,435776,909.3333333,320,506.6666667,909.3333333,909.3333333,3065453.333,909.3333333,984352,320,320,2076800,909.3333333,640,2621933.333,480,909.3333333,657965.3333,1096,436205.3333,909.3333333,749.3333333,653504,1096,909.3333333,506.6666667,506.6666667,658312,436365.3333,909.3333333,0,2528288,419328,633024,4032,0,0,0
13,320,160,435776,320,320,320,506.6666667,320,3048512,320,984128,320,160,2068736,320,320,2613056,320,320,653504,320,435776,160,320,657536,320,320,320,320,653504,435776,320,0,2528064,423360,633024,0,0,0,0
14,160,7157120,435616,320,7173248,320,160,320,3056576,346.6666667,980096,320,320,2076800,7185344,320,2617088,480,320,7798208,320,439808,320,320,7782080,320,320,320,320,657536,439808,320,0,8426880,435456,653184,0,0,0,0
15,320,8540096,649472,320,8540096,320,320,160,3278448,320,1193792,320,320,2072880,8540096,320,2629296,480,160,9201344,160,645440,320,506.6666667,9201344,320,214016,480,320,653504,435776,320,0,12168688,475776,717696,141120,0,0,0
16,320,8548160,1310720,320,8548160,320,320,320,3935392,320,1855040,320,320,2080832,8548160,320,2629184,320,320,9197312,320,1314752,320,320,9201344,320,875264,320,160,657376,439808,320,0,10761408,423360,633024,842688,0,0,0
17,320,3047418.667,1318784,320,3031290.667,320,320,320,3931520,4352,1863104,320,320,2080832,3019194.667,320,2617088,4352,320,3720762.667,320,1314752,320,320,3728826.667,320,875264,320,320,657536,435616,160,4032,6506554.667,423360,633024,842688,0,0,0
18,320,320,1314752,320,320,320,320,320,3947648,28544,1863104,320,28544,2080832,320,320,2637248,24512,320,657536,320,1318784,320,320,657536,160,879136,160,320,657536,439808,320,0,2939328,487872,733824,979776,4032,0,0
19,320,320,1310720,320,320,320,320,320,4403376,875376,2326736,160,875376,2076640,320,320,3092976,875376,320,653504,320,1310720,320,320,657536,320,875264,320,320,657536,435776,320,0,2955568,423360,628992,842688,838768,0,0
20,320,80960,1314864,160,80800,320,320,320,4592992,871344,2512640,84992,875376,2080832,160,320,3278448,875376,320,734144,320,1310832,320,320,734144,320,875264,320,480,653504,439920,320,0,3201520,427504,641088,854784,858928,0,0
21,320,883328,1322816,320,883328,320,320,320,4637120,887360,2544512,883328,883328,2096960,320,160,3310432,883328,320,1548720,320,1326848,320,320,1544688,320,883328,320,480,665712,439808,320,0,3165120,419328,633136,846720,1681344,0,0
22,320,875264,1314752,320,875264,160,320,320,4600944,875264,2512256,875264,875264,2080944,320,320,3286512,875264,320,1532544,320,1314752,320,320,1532704,320,875264,320,640,657760,439808,480,0,3689392,491904,738080,983808,1971648,0,0
23,320,1246208,1310720,320,1246208,320,320,320,4592768,875264,2516288,1246208,875264,2072928,320,320,3286400,875264,320,1899392,320,1310560,160,160,1532480,320,875264,367232,320,653504,439808,320,0,3161088,423360,633024,842688,1685376,346752,0
24,160,1310560,1568768,320,1310720,320,320,320,4846784,875264,2766272,1310720,875104,2080832,320,320,3278336,875264,320,1971968,320,1568768,320,320,1532480,320,1129280,439808,320,657536,435776,320,0,3165120,419328,633024,1056384,1685376,423360,0
25,320,1322816,1011472,320,1322816,320,160,320,4301744,879136,2221392,1322816,879296,2088896,320,320,3294464,879296,320,1980032,320,1007600,320,320,1536512,320,572144,443840,320,657536,439808,320,0,3455424,463680,689472,668592,1846656,459648,0
26,320,1342976,1846976,320,1342976,320,320,160,5205632,895424,2129376,1342976,895424,5229824,320,320,3358976,895610.6667,160,2016320,160,1855040,320,320,1568928,320,1403456,447872,320,673664,447872,320,786240,2919168,387072,584640,391104,2705472,391104,0
